country,continent,year,lifeexp,pop,gdppercap,iso_alpha,iso_num
Afghanistan,Asia,1952,28.8,8425333,779.45,AFG,4
Afghanistan,Asia,1957,30.33,9240934,820.85,AFG,4
Afghanistan,Asia,1962,32.0,10267083,853.1,AFG,4
Afghanistan,Asia,1967,34.02,11537966,836.2,AFG,4
Afghanistan,Asia,1972,36.09,13079460,739.98,AFG,4
Afghanistan,Asia,1977,38.44,14880372,786.11,AFG,4
Afghanistan,Asia,1982,39.85,12881816,978.01,AFG,4
Afghanistan,Asia,1987,40.82,13867957,852.4,AFG,4
Afghanistan,Asia,1992,41.67,16317921,649.34,AFG,4
Afghanistan,Asia,1997,41.76,22227415,635.34,AFG,4
Afghanistan,Asia,2002,42.13,25268405,726.73,AFG,4
Afghanistan,Asia,2007,43.83,31889923,974.58,AFG,4
Albania,Europe,1952,55.23,1282697,1601.06,ALB,8
Albania,Europe,1957,59.28,1476505,1942.28,ALB,8
Albania,Europe,1962,64.82,1728137,2312.89,ALB,8
Albania,Europe,1967,66.22,1984060,2760.2,ALB,8
Albania,Europe,1972,67.69,2263554,3313.42,ALB,8
Albania,Europe,1977,68.93,2509048,3533.0,ALB,8
Albania,Europe,1982,70.42,2780097,3630.88,ALB,8
Albania,Europe,1987,72.0,3075321,3738.93,ALB,8
Albania,Europe,1992,71.58,3326498,2497.44,ALB,8
Albania,Europe,1997,72.95,3428038,3193.05,ALB,8
Albania,Europe,2002,75.65,3508512,4604.21,ALB,8
Albania,Europe,2007,76.42,3600523,5937.03,ALB,8
Algeria,Africa,1952,43.08,9279525,2449.01,DZA,12
Algeria,Africa,1957,45.68,10270856,3013.98,DZA,12
Algeria,Africa,1962,48.3,11000948,2550.82,DZA,12
Algeria,Africa,1967,51.41,12760499,3246.99,DZA,12
Algeria,Africa,1972,54.52,14760787,4182.66,DZA,12
Algeria,Africa,1977,58.01,17152804,4910.42,DZA,12
Algeria,Africa,1982,61.37,20033753,5745.16,DZA,12
Algeria,Africa,1987,65.8,23254956,5681.36,DZA,12
Algeria,Africa,1992,67.74,26298373,5023.22,DZA,12
Algeria,Africa,1997,69.15,29072015,4797.3,DZA,12
Algeria,Africa,2002,70.99,31287142,5288.04,DZA,12
Algeria,Africa,2007,72.3,33333216,6223.37,DZA,12
Angola,Africa,1952,30.02,4232095,3520.61,AGO,24
Angola,Africa,1957,32.0,4561361,3827.94,AGO,24
Angola,Africa,1962,34.0,4826015,4269.28,AGO,24
Angola,Africa,1967,35.98,5247469,5522.78,AGO,24
Angola,Africa,1972,37.93,5894858,5473.29,AGO,24
Angola,Africa,1977,39.48,6162675,3008.65,AGO,24
Angola,Africa,1982,39.94,7016384,2756.95,AGO,24
Angola,Africa,1987,39.91,7874230,2430.21,AGO,24
Angola,Africa,1992,40.65,8735988,2627.85,AGO,24
Angola,Africa,1997,40.96,9875024,2277.14,AGO,24
Angola,Africa,2002,41.0,10866106,2773.29,AGO,24
Angola,Africa,2007,42.73,12420476,4797.23,AGO,24
Argentina,Americas,1952,62.48,17876956,5911.32,ARG,32
Argentina,Americas,1957,64.4,19610538,6856.86,ARG,32
Argentina,Americas,1962,65.14,21283783,7133.17,ARG,32
Argentina,Americas,1967,65.63,22934225,8052.95,ARG,32
Argentina,Americas,1972,67.06,24779799,9443.04,ARG,32
Argentina,Americas,1977,68.48,26983828,10079.03,ARG,32
Argentina,Americas,1982,69.94,29341374,8997.9,ARG,32
Argentina,Americas,1987,70.77,31620918,9139.67,ARG,32
Argentina,Americas,1992,71.87,33958947,9308.42,ARG,32
Argentina,Americas,1997,73.28,36203463,10967.28,ARG,32
Argentina,Americas,2002,74.34,38331121,8797.64,ARG,32
Argentina,Americas,2007,75.32,40301927,12779.38,ARG,32
Australia,Oceania,1952,69.12,8691212,10039.6,AUS,36
Australia,Oceania,1957,70.33,9712569,10949.65,AUS,36
Australia,Oceania,1962,70.93,10794968,12217.23,AUS,36
Australia,Oceania,1967,71.1,11872264,14526.12,AUS,36
Australia,Oceania,1972,71.93,13177000,16788.63,AUS,36
Australia,Oceania,1977,73.49,14074100,18334.2,AUS,36
Australia,Oceania,1982,74.74,15184200,19477.01,AUS,36
Australia,Oceania,1987,76.32,16257249,21888.89,AUS,36
Australia,Oceania,1992,77.56,17481977,23424.77,AUS,36
Australia,Oceania,1997,78.83,18565243,26997.94,AUS,36
Australia,Oceania,2002,80.37,19546792,30687.75,AUS,36
Australia,Oceania,2007,81.24,20434176,34435.37,AUS,36
Austria,Europe,1952,66.8,6927772,6137.08,AUT,40
Austria,Europe,1957,67.48,6965860,8842.6,AUT,40
Austria,Europe,1962,69.54,7129864,10750.72,AUT,40
Austria,Europe,1967,70.14,7376998,12834.6,AUT,40
Austria,Europe,1972,70.63,7544201,16661.63,AUT,40
Austria,Europe,1977,72.17,7568430,19749.42,AUT,40
Austria,Europe,1982,73.18,7574613,21597.08,AUT,40
Austria,Europe,1987,74.94,7578903,23687.83,AUT,40
Austria,Europe,1992,76.04,7914969,27042.02,AUT,40
Austria,Europe,1997,77.51,8069876,29095.92,AUT,40
Austria,Europe,2002,78.98,8148312,32417.61,AUT,40
Austria,Europe,2007,79.83,8199783,36126.49,AUT,40
Bahrain,Asia,1952,50.94,120447,9867.08,BHR,48
Bahrain,Asia,1957,53.83,138655,11635.8,BHR,48
Bahrain,Asia,1962,56.92,171863,12753.28,BHR,48
Bahrain,Asia,1967,59.92,202182,14804.67,BHR,48
Bahrain,Asia,1972,63.3,230800,18268.66,BHR,48
Bahrain,Asia,1977,65.59,297410,19340.1,BHR,48
Bahrain,Asia,1982,69.05,377967,19211.15,BHR,48
Bahrain,Asia,1987,70.75,454612,18524.02,BHR,48
Bahrain,Asia,1992,72.6,529491,19035.58,BHR,48
Bahrain,Asia,1997,73.92,598561,20292.02,BHR,48
Bahrain,Asia,2002,74.8,656397,23403.56,BHR,48
Bahrain,Asia,2007,75.64,708573,29796.05,BHR,48
Bangladesh,Asia,1952,37.48,46886859,684.24,BGD,50
Bangladesh,Asia,1957,39.35,51365468,661.64,BGD,50
Bangladesh,Asia,1962,41.22,56839289,686.34,BGD,50
Bangladesh,Asia,1967,43.45,62821884,721.19,BGD,50
Bangladesh,Asia,1972,45.25,70759295,630.23,BGD,50
Bangladesh,Asia,1977,46.92,80428306,659.88,BGD,50
Bangladesh,Asia,1982,50.01,93074406,676.98,BGD,50
Bangladesh,Asia,1987,52.82,103764241,751.98,BGD,50
Bangladesh,Asia,1992,56.02,113704579,837.81,BGD,50
Bangladesh,Asia,1997,59.41,123315288,972.77,BGD,50
Bangladesh,Asia,2002,62.01,135656790,1136.39,BGD,50
Bangladesh,Asia,2007,64.06,150448339,1391.25,BGD,50
Belgium,Europe,1952,68.0,8730405,8343.11,BEL,56
Belgium,Europe,1957,69.24,8989111,9714.96,BEL,56
Belgium,Europe,1962,70.25,9218400,10991.21,BEL,56
Belgium,Europe,1967,70.94,9556500,13149.04,BEL,56
Belgium,Europe,1972,71.44,9709100,16672.14,BEL,56
Belgium,Europe,1977,72.8,9821800,19117.97,BEL,56
Belgium,Europe,1982,73.93,9856303,20979.85,BEL,56
Belgium,Europe,1987,75.35,9870200,22525.56,BEL,56
Belgium,Europe,1992,76.46,10045622,25575.57,BEL,56
Belgium,Europe,1997,77.53,10199787,27561.2,BEL,56
Belgium,Europe,2002,78.32,10311970,30485.88,BEL,56
Belgium,Europe,2007,79.44,10392226,33692.61,BEL,56
Benin,Africa,1952,38.22,1738315,1062.75,BEN,204
Benin,Africa,1957,40.36,1925173,959.6,BEN,204
Benin,Africa,1962,42.62,2151895,949.5,BEN,204
Benin,Africa,1967,44.88,2427334,1035.83,BEN,204
Benin,Africa,1972,47.01,2761407,1085.8,BEN,204
Benin,Africa,1977,49.19,3168267,1029.16,BEN,204
Benin,Africa,1982,50.9,3641603,1277.9,BEN,204
Benin,Africa,1987,52.34,4243788,1225.86,BEN,204
Benin,Africa,1992,53.92,4981671,1191.21,BEN,204
Benin,Africa,1997,54.78,6066080,1232.98,BEN,204
Benin,Africa,2002,54.41,7026113,1372.88,BEN,204
Benin,Africa,2007,56.73,8078314,1441.28,BEN,204
Bolivia,Americas,1952,40.41,2883315,2677.33,BOL,68
Bolivia,Americas,1957,41.89,3211738,2127.69,BOL,68
Bolivia,Americas,1962,43.43,3593918,2180.97,BOL,68
Bolivia,Americas,1967,45.03,4040665,2586.89,BOL,68
Bolivia,Americas,1972,46.71,4565872,2980.33,BOL,68
Bolivia,Americas,1977,50.02,5079716,3548.1,BOL,68
Bolivia,Americas,1982,53.86,5642224,3156.51,BOL,68
Bolivia,Americas,1987,57.25,6156369,2753.69,BOL,68
Bolivia,Americas,1992,59.96,6893451,2961.7,BOL,68
Bolivia,Americas,1997,62.05,7693188,3326.14,BOL,68
Bolivia,Americas,2002,63.88,8445134,3413.26,BOL,68
Bolivia,Americas,2007,65.55,9119152,3822.14,BOL,68
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.53,BIH,70
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.99,BIH,70
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.68,BIH,70
Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.35,BIH,70
Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.17,BIH,70
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.48,BIH,70
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.61,BIH,70
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.11,BIH,70
Bosnia and Herzegovina,Europe,1992,72.18,4256013,2546.78,BIH,70
Bosnia and Herzegovina,Europe,1997,73.24,3607000,4766.36,BIH,70
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.98,BIH,70
Bosnia and Herzegovina,Europe,2007,74.85,4552198,7446.3,BIH,70
Botswana,Africa,1952,47.62,442308,851.24,BWA,72
Botswana,Africa,1957,49.62,474639,918.23,BWA,72
Botswana,Africa,1962,51.52,512764,983.65,BWA,72
Botswana,Africa,1967,53.3,553541,1214.71,BWA,72
Botswana,Africa,1972,56.02,619351,2263.61,BWA,72
Botswana,Africa,1977,59.32,781472,3214.86,BWA,72
Botswana,Africa,1982,61.48,970347,4551.14,BWA,72
Botswana,Africa,1987,63.62,1151184,6205.88,BWA,72
Botswana,Africa,1992,62.74,1342614,7954.11,BWA,72
Botswana,Africa,1997,52.56,1536536,8647.14,BWA,72
Botswana,Africa,2002,46.63,1630347,11003.61,BWA,72
Botswana,Africa,2007,50.73,1639131,12569.85,BWA,72
Brazil,Americas,1952,50.92,56602560,2108.94,BRA,76
Brazil,Americas,1957,53.28,65551171,2487.37,BRA,76
Brazil,Americas,1962,55.66,76039390,3336.59,BRA,76
Brazil,Americas,1967,57.63,88049823,3429.86,BRA,76
Brazil,Americas,1972,59.5,100840058,4985.71,BRA,76
Brazil,Americas,1977,61.49,114313951,6660.12,BRA,76
Brazil,Americas,1982,63.34,128962939,7030.84,BRA,76
Brazil,Americas,1987,65.2,142938076,7807.1,BRA,76
Brazil,Americas,1992,67.06,155975974,6950.28,BRA,76
Brazil,Americas,1997,69.39,168546719,7957.98,BRA,76
Brazil,Americas,2002,71.01,179914212,8131.21,BRA,76
Brazil,Americas,2007,72.39,190010647,9065.8,BRA,76
Bulgaria,Europe,1952,59.6,7274900,2444.29,BGR,100
Bulgaria,Europe,1957,66.61,7651254,3008.67,BGR,100
Bulgaria,Europe,1962,69.51,8012946,4254.34,BGR,100
Bulgaria,Europe,1967,70.42,8310226,5577.0,BGR,100
Bulgaria,Europe,1972,70.9,8576200,6597.49,BGR,100
Bulgaria,Europe,1977,70.81,8797022,7612.24,BGR,100
Bulgaria,Europe,1982,71.08,8892098,8224.19,BGR,100
Bulgaria,Europe,1987,71.34,8971958,8239.85,BGR,100
Bulgaria,Europe,1992,71.19,8658506,6302.62,BGR,100
Bulgaria,Europe,1997,70.32,8066057,5970.39,BGR,100
Bulgaria,Europe,2002,72.14,7661799,7696.78,BGR,100
Bulgaria,Europe,2007,73.0,7322858,10680.79,BGR,100
Burkina Faso,Africa,1952,31.98,4469979,543.26,BFA,854
Burkina Faso,Africa,1957,34.91,4713416,617.18,BFA,854
Burkina Faso,Africa,1962,37.81,4919632,722.51,BFA,854
Burkina Faso,Africa,1967,40.7,5127935,794.83,BFA,854
Burkina Faso,Africa,1972,43.59,5433886,854.74,BFA,854
Burkina Faso,Africa,1977,46.14,5889574,743.39,BFA,854
Burkina Faso,Africa,1982,48.12,6634596,807.2,BFA,854
Burkina Faso,Africa,1987,49.56,7586551,912.06,BFA,854
Burkina Faso,Africa,1992,50.26,8878303,931.75,BFA,854
Burkina Faso,Africa,1997,50.32,10352843,946.29,BFA,854
Burkina Faso,Africa,2002,50.65,12251209,1037.65,BFA,854
Burkina Faso,Africa,2007,52.3,14326203,1217.03,BFA,854
Burundi,Africa,1952,39.03,2445618,339.3,BDI,108
Burundi,Africa,1957,40.53,2667518,379.56,BDI,108
Burundi,Africa,1962,42.04,2961915,355.2,BDI,108
Burundi,Africa,1967,43.55,3330989,412.98,BDI,108
Burundi,Africa,1972,44.06,3529983,464.1,BDI,108
Burundi,Africa,1977,45.91,3834415,556.1,BDI,108
Burundi,Africa,1982,47.47,4580410,559.6,BDI,108
Burundi,Africa,1987,48.21,5126023,621.82,BDI,108
Burundi,Africa,1992,44.74,5809236,631.7,BDI,108
Burundi,Africa,1997,45.33,6121610,463.12,BDI,108
Burundi,Africa,2002,47.36,7021078,446.4,BDI,108
Burundi,Africa,2007,49.58,8390505,430.07,BDI,108
Cambodia,Asia,1952,39.42,4693836,368.47,KHM,116
Cambodia,Asia,1957,41.37,5322536,434.04,KHM,116
Cambodia,Asia,1962,43.42,6083619,496.91,KHM,116
Cambodia,Asia,1967,45.42,6960067,523.43,KHM,116
Cambodia,Asia,1972,40.32,7450606,421.62,KHM,116
Cambodia,Asia,1977,31.22,6978607,524.97,KHM,116
Cambodia,Asia,1982,50.96,7272485,624.48,KHM,116
Cambodia,Asia,1987,53.91,8371791,683.9,KHM,116
Cambodia,Asia,1992,55.8,10150094,682.3,KHM,116
Cambodia,Asia,1997,56.53,11782962,734.29,KHM,116
Cambodia,Asia,2002,56.75,12926707,896.23,KHM,116
Cambodia,Asia,2007,59.72,14131858,1713.78,KHM,116
Cameroon,Africa,1952,38.52,5009067,1172.67,CMR,120
Cameroon,Africa,1957,40.43,5359923,1313.05,CMR,120
Cameroon,Africa,1962,42.64,5793633,1399.61,CMR,120
Cameroon,Africa,1967,44.8,6335506,1508.45,CMR,120
Cameroon,Africa,1972,47.05,7021028,1684.15,CMR,120
Cameroon,Africa,1977,49.36,7959865,1783.43,CMR,120
Cameroon,Africa,1982,52.96,9250831,2367.98,CMR,120
Cameroon,Africa,1987,54.98,10780667,2602.66,CMR,120
Cameroon,Africa,1992,54.31,12467171,1793.16,CMR,120
Cameroon,Africa,1997,52.2,14195809,1694.34,CMR,120
Cameroon,Africa,2002,49.86,15929988,1934.01,CMR,120
Cameroon,Africa,2007,50.43,17696293,2042.1,CMR,120
Canada,Americas,1952,68.75,14785584,11367.16,CAN,124
Canada,Americas,1957,69.96,17010154,12489.95,CAN,124
Canada,Americas,1962,71.3,18985849,13462.49,CAN,124
Canada,Americas,1967,72.13,20819767,16076.59,CAN,124
Canada,Americas,1972,72.88,22284500,18970.57,CAN,124
Canada,Americas,1977,74.21,23796400,22090.88,CAN,124
Canada,Americas,1982,75.76,25201900,22898.79,CAN,124
Canada,Americas,1987,76.86,26549700,26626.52,CAN,124
Canada,Americas,1992,77.95,28523502,26342.88,CAN,124
Canada,Americas,1997,78.61,30305843,28954.93,CAN,124
Canada,Americas,2002,79.77,31902268,33328.97,CAN,124
Canada,Americas,2007,80.65,33390141,36319.24,CAN,124
Central African Republic,Africa,1952,35.46,1291695,1071.31,CAF,140
Central African Republic,Africa,1957,37.46,1392284,1190.84,CAF,140
Central African Republic,Africa,1962,39.48,1523478,1193.07,CAF,140
Central African Republic,Africa,1967,41.48,1733638,1136.06,CAF,140
Central African Republic,Africa,1972,43.46,1927260,1070.01,CAF,140
Central African Republic,Africa,1977,46.78,2167533,1109.37,CAF,140
Central African Republic,Africa,1982,48.3,2476971,956.75,CAF,140
Central African Republic,Africa,1987,50.48,2840009,844.88,CAF,140
Central African Republic,Africa,1992,49.4,3265124,747.91,CAF,140
Central African Republic,Africa,1997,46.07,3696513,740.51,CAF,140
Central African Republic,Africa,2002,43.31,4048013,738.69,CAF,140
Central African Republic,Africa,2007,44.74,4369038,706.02,CAF,140
Chad,Africa,1952,38.09,2682462,1178.67,TCD,148
Chad,Africa,1957,39.88,2894855,1308.5,TCD,148
Chad,Africa,1962,41.72,3150417,1389.82,TCD,148
Chad,Africa,1967,43.6,3495967,1196.81,TCD,148
Chad,Africa,1972,45.57,3899068,1104.1,TCD,148
Chad,Africa,1977,47.38,4388260,1133.98,TCD,148
Chad,Africa,1982,49.52,4875118,797.91,TCD,148
Chad,Africa,1987,51.05,5498955,952.39,TCD,148
Chad,Africa,1992,51.72,6429417,1058.06,TCD,148
Chad,Africa,1997,51.57,7562011,1004.96,TCD,148
Chad,Africa,2002,50.52,8835739,1156.18,TCD,148
Chad,Africa,2007,50.65,10238807,1704.06,TCD,148
Chile,Americas,1952,54.74,6377619,3939.98,CHL,152
Chile,Americas,1957,56.07,7048426,4315.62,CHL,152
Chile,Americas,1962,57.92,7961258,4519.09,CHL,152
Chile,Americas,1967,60.52,8858908,5106.65,CHL,152
Chile,Americas,1972,63.44,9717524,5494.02,CHL,152
Chile,Americas,1977,67.05,10599793,4756.76,CHL,152
Chile,Americas,1982,70.56,11487112,5095.67,CHL,152
Chile,Americas,1987,72.49,12463354,5547.06,CHL,152
Chile,Americas,1992,74.13,13572994,7596.13,CHL,152
Chile,Americas,1997,75.82,14599929,10118.05,CHL,152
Chile,Americas,2002,77.86,15497046,10778.78,CHL,152
Chile,Americas,2007,78.55,16284741,13171.64,CHL,152
China,Asia,1952,44.0,556263527,400.45,CHN,156
China,Asia,1957,50.55,637408000,575.99,CHN,156
China,Asia,1962,44.5,665770000,487.67,CHN,156
China,Asia,1967,58.38,754550000,612.71,CHN,156
China,Asia,1972,63.12,862030000,676.9,CHN,156
China,Asia,1977,63.97,943455000,741.24,CHN,156
China,Asia,1982,65.53,1000281000,962.42,CHN,156
China,Asia,1987,67.27,1084035000,1378.9,CHN,156
China,Asia,1992,68.69,1164970000,1655.78,CHN,156
China,Asia,1997,70.43,1230075000,2289.23,CHN,156
China,Asia,2002,72.03,1280400000,3119.28,CHN,156
China,Asia,2007,72.96,1318683096,4959.11,CHN,156
Colombia,Americas,1952,50.64,12350771,2144.12,COL,170
Colombia,Americas,1957,55.12,14485993,2323.81,COL,170
Colombia,Americas,1962,57.86,17009885,2492.35,COL,170
Colombia,Americas,1967,59.96,19764027,2678.73,COL,170
Colombia,Americas,1972,61.62,22542890,3264.66,COL,170
Colombia,Americas,1977,63.84,25094412,3815.81,COL,170
Colombia,Americas,1982,66.65,27764644,4397.58,COL,170
Colombia,Americas,1987,67.77,30964245,4903.22,COL,170
Colombia,Americas,1992,68.42,34202721,5444.65,COL,170
Colombia,Americas,1997,70.31,37657830,6117.36,COL,170
Colombia,Americas,2002,71.68,41008227,5755.26,COL,170
Colombia,Americas,2007,72.89,44227550,7006.58,COL,170
Comoros,Africa,1952,40.72,153936,1102.99,COM,174
Comoros,Africa,1957,42.46,170928,1211.15,COM,174
Comoros,Africa,1962,44.47,191689,1406.65,COM,174
Comoros,Africa,1967,46.47,217378,1876.03,COM,174
Comoros,Africa,1972,48.94,250027,1937.58,COM,174
Comoros,Africa,1977,50.94,304739,1172.6,COM,174
Comoros,Africa,1982,52.93,348643,1267.1,COM,174
Comoros,Africa,1987,54.93,395114,1315.98,COM,174
Comoros,Africa,1992,57.94,454429,1246.91,COM,174
Comoros,Africa,1997,60.66,527982,1173.62,COM,174
Comoros,Africa,2002,62.97,614382,1075.81,COM,174
Comoros,Africa,2007,65.15,710960,986.15,COM,174
"Congo, Dem. Rep.",Africa,1952,39.14,14100005,780.54,COD,180
"Congo, Dem. Rep.",Africa,1957,40.65,15577932,905.86,COD,180
"Congo, Dem. Rep.",Africa,1962,42.12,17486434,896.31,COD,180
"Congo, Dem. Rep.",Africa,1967,44.06,19941073,861.59,COD,180
"Congo, Dem. Rep.",Africa,1972,45.99,23007669,904.9,COD,180
"Congo, Dem. Rep.",Africa,1977,47.8,26480870,795.76,COD,180
"Congo, Dem. Rep.",Africa,1982,47.78,30646495,673.75,COD,180
"Congo, Dem. Rep.",Africa,1987,47.41,35481645,672.77,COD,180
"Congo, Dem. Rep.",Africa,1992,45.55,41672143,457.72,COD,180
"Congo, Dem. Rep.",Africa,1997,42.59,47798986,312.19,COD,180
"Congo, Dem. Rep.",Africa,2002,44.97,55379852,241.17,COD,180
"Congo, Dem. Rep.",Africa,2007,46.46,64606759,277.55,COD,180
"Congo, Rep.",Africa,1952,42.11,854885,2125.62,COG,178
"Congo, Rep.",Africa,1957,45.05,940458,2315.06,COG,178
